puzzle_path,weight_mode,include_filled_edges,algorithm,solve_time_ms,decision_count,fiedler_value,trace_laplacian
/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,1,AC3Solver,9.730009,47,5785609.45838086,1290000280.99974
/home/blake/m508/custompuzzles/Custom-0003.txt,binary,0,BacktrackingSolver,0.433021,170,0.0,536.0
/home/blake/m508/custompuzzles/Custom-0003.txt,binary,0,ForwardCheckingSolver,0.554108,47,0.0,536.0
/home/blake/m508/custompuzzles/Custom-0003.txt,binary,0,AC3Solver,9.506922,47,0.0,536.0
/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,0,BacktrackingSolver,0.440061,170,0.0,48.8888888888889
/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,0,ForwardCheckingSolver,0.562169,47,0.0,48.8888888888889
/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,0,AC3Solver,10.300365,47,0.0,48.8888888888889
/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,0,BacktrackingSolver,0.437344,170,0.0,206000280.999741
/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,0,ForwardCheckingSolver,0.560152,47,0.0,206000280.999741
/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,0,AC3Solver,9.266921,47,0.0,206000280.999741
/home/blake/m508/custompuzzles/Custom-0004.txt,binary,1,BacktrackingSolver,0.44252,173,8.99999999999998,1620.0
/home/blake/m508/custompuzzles/Custom-0004.txt,binary,1,ForwardCheckingSolver,0.587584,48,8.99999999999998,1620.0
/home/blake/m508/custompuzzles/Custom-0004.txt,binary,1,AC3Solver,9.059866,48,8.99999999999998,1620.0
/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,1,BacktrackingSolver,0.49272,173,0.0,66.0
/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,1,ForwardCheckingSolver,0.574046,48,0.0,66.0
/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,1,AC3Solver,9.292413,48,0.0,66.0
/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,1,BacktrackingSolver,0.488638,173,5044902.17687573,1194000347.99969
/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,1,ForwardCheckingSolver,0.823676,48,5044902.17687573,1194000347.99969
/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,1,AC3Solver,9.883646,48,5044902.17687573,1194000347.99969
/home/blake/m508/custompuzzles/Custom-0004.txt,binary,0,BacktrackingSolver,0.502544,173,0.0,552.0
/home/blake/m508/custompuzzles/Custom-0004.txt,binary,0,ForwardCheckingSolver,0.638891,48,0.0,552.0
/home/blake/m508/custompuzzles/Custom-0004.txt,binary,0,AC3Solver,9.876932,48,0.0,552.0
/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,0,BacktrackingSolver,0.45585,173,0.0,66.0
/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,0,ForwardCheckingSolver,0.575824,48,0.0,66.0
/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,0,AC3Solver,9.856179,48,0.0,66.0
/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,0,BacktrackingSolver,0.474817,173,0.0,126000347.999689
/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,0,ForwardCheckingSolver,0.609081,48,0.0,126000347.999689
/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,0,AC3Solver,8.980537,48,0.0,126000347.999689
/home/blake/m508/custompuzzles/Custom-0005.txt,binary,1,BacktrackingSolver,0.499117,181,8.99999999999998,1620.0
/home/blake/m508/custompuzzles/Custom-0005.txt,binary,1,ForwardCheckingSolver,0.574465,49,8.99999999999998,1620.0
/home/blake/m508/custompuzzles/Custom-0005.txt,binary,1,AC3Solver,9.558142,49,8.99999999999998,1620.0
/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,1,BacktrackingSolver,0.469344,181,0.0,71.5555555555556
/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,1,ForwardCheckingSolver,0.592875,49,0.0,71.5555555555556
/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,1,AC3Solver,9.484827,49,0.0,71.5555555555556
/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,1,BacktrackingSolver,0.543512,181,4860839.75645558,1214000307.99973
/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,1,ForwardCheckingSolver,0.638805,49,4860839.75645558,1214000307.99973
/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,1,AC3Solver,10.344897,49,4860839.75645558,1214000307.99973
/home/blake/m508/custompuzzles/Custom-0005.txt,binary,0,BacktrackingSolver,0.587349,181,0.0,568.0
/home/blake/m508/custompuzzles/Custom-0005.txt,binary,0,ForwardCheckingSolver,0.646939,49,0.0,568.0
/home/blake/m508/custompuzzles/Custom-0005.txt,binary,0,AC3Solver,8.950535,49,0.0,568.0
/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,0,BacktrackingSolver,0.465134,181,0.0,71.5555555555556
/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,0,ForwardCheckingSolver,0.585893,49,0.0,71.5555555555556
/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,0,AC3Solver,10.228049,49,0.0,71.5555555555556
/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,0,BacktrackingSolver,0.479357,181,0.0,162000307.999734
