id,puzzle_path,weight_mode,include_filled_edges,algorithm,solved,solve_time_ms,decision_count,fiedler_value,trace_laplacian,created_at_utc
34,/home/blake/m508/custompuzzles/Custom-0002.txt,inv_overlap,0,BacktrackingSolver,1,0.451788,165,0.0,182000300.33305508,2026-02-16T18:02:58.113Z
35,/home/blake/m508/custompuzzles/Custom-0002.txt,inv_overlap,0,ForwardCheckingSolver,1,0.533904,47,0.0,182000300.33305508,2026-02-16T18:02:58.114Z
36,/home/blake/m508/custompuzzles/Custom-0002.txt,inv_overlap,0,AC3Solver,1,9.905048,47,0.0,182000300.33305508,2026-02-16T18:02:58.124Z
37,/home/blake/m508/custompuzzles/Custom-0003.txt,binary,1,BacktrackingSolver,1,0.411617,170,8.999999999999975,1620.0,2026-02-16T18:02:58.135Z
38,/home/blake/m508/custompuzzles/Custom-0003.txt,binary,1,ForwardCheckingSolver,1,0.534871,47,8.999999999999975,1620.0,2026-02-16T18:02:58.135Z
39,/home/blake/m508/custompuzzles/Custom-0003.txt,binary,1,AC3Solver,1,10.50013,47,8.999999999999975,1620.0,2026-02-16T18:02:58.146Z
40,/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,1,BacktrackingSolver,1,0.449612,170,0.0,48.888888888888886,2026-02-16T18:02:58.157Z
41,/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,1,ForwardCheckingSolver,1,0.543812,47,0.0,48.888888888888886,2026-02-16T18:02:58.158Z
42,/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,1,AC3Solver,1,10.040196,47,0.0,48.888888888888886,2026-02-16T18:02:58.169Z
43,/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,1,BacktrackingSolver,1,0.446226,170,5785609.458380865,1290000280.9997416,2026-02-16T18:02:58.180Z
44,/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,1,ForwardCheckingSolver,1,0.873185,47,5785609.458380865,1290000280.9997416,2026-02-16T18:02:58.181Z
45,/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,1,AC3Solver,1,9.730009,47,5785609.458380865,1290000280.9997416,2026-02-16T18:02:58.191Z
46,/home/blake/m508/custompuzzles/Custom-0003.txt,binary,0,BacktrackingSolver,1,0.433021,170,0.0,536.0,2026-02-16T18:02:58.201Z
47,/home/blake/m508/custompuzzles/Custom-0003.txt,binary,0,ForwardCheckingSolver,1,0.554108,47,0.0,536.0,2026-02-16T18:02:58.201Z
48,/home/blake/m508/custompuzzles/Custom-0003.txt,binary,0,AC3Solver,1,9.506922,47,0.0,536.0,2026-02-16T18:02:58.211Z
49,/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,0,BacktrackingSolver,1,0.440061,170,0.0,48.888888888888886,2026-02-16T18:02:58.222Z
50,/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,0,ForwardCheckingSolver,1,0.562169,47,0.0,48.888888888888886,2026-02-16T18:02:58.222Z
51,/home/blake/m508/custompuzzles/Custom-0003.txt,overlap,0,AC3Solver,1,10.300365,47,0.0,48.888888888888886,2026-02-16T18:02:58.233Z
52,/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,0,BacktrackingSolver,1,0.437344,170,0.0,206000280.99974146,2026-02-16T18:02:58.243Z
53,/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,0,ForwardCheckingSolver,1,0.560152,47,0.0,206000280.99974146,2026-02-16T18:02:58.244Z
54,/home/blake/m508/custompuzzles/Custom-0003.txt,inv_overlap,0,AC3Solver,1,9.266921,47,0.0,206000280.99974146,2026-02-16T18:02:58.253Z
55,/home/blake/m508/custompuzzles/Custom-0004.txt,binary,1,BacktrackingSolver,1,0.44252,173,8.999999999999975,1620.0,2026-02-16T18:02:58.264Z
56,/home/blake/m508/custompuzzles/Custom-0004.txt,binary,1,ForwardCheckingSolver,1,0.587584,48,8.999999999999975,1620.0,2026-02-16T18:02:58.265Z
57,/home/blake/m508/custompuzzles/Custom-0004.txt,binary,1,AC3Solver,1,9.059866,48,8.999999999999975,1620.0,2026-02-16T18:02:58.274Z
58,/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,1,BacktrackingSolver,1,0.49272,173,0.0,66.0,2026-02-16T18:02:58.285Z
59,/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,1,ForwardCheckingSolver,1,0.574046,48,0.0,66.0,2026-02-16T18:02:58.286Z
60,/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,1,AC3Solver,1,9.292413,48,0.0,66.0,2026-02-16T18:02:58.296Z
61,/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,1,BacktrackingSolver,1,0.488638,173,5044902.176875729,1194000347.999689,2026-02-16T18:02:58.306Z
62,/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,1,ForwardCheckingSolver,1,0.823676,48,5044902.176875729,1194000347.999689,2026-02-16T18:02:58.307Z
63,/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,1,AC3Solver,1,9.883646,48,5044902.176875729,1194000347.999689,2026-02-16T18:02:58.318Z
