rank,prime,time_ns
68762208,1374244297,641412
68838093,1375844551,587259
68940851,1378009693,584078
69091760,1381186241,653408
69204972,1383566959,673130
69568436,1391220557,641325
69972292,1399722923,658736
70061837,1401611347,621525
70163128,1403744981,677225
70385006,1408422247,655404
71069168,1422836567,652017
71267891,1427028367,651582
71481347,1431524173,636574
71615802,1434362929,670069
71813348,1438529017,691448
71910747,1440582953,663061
71993058,1442321533,666223
72045284,1443419623,650689
72128660,1445180549,619255
72216811,1447035761,601381
72229898,1447312753,642039
72348787,1449818813,665164
72774943,1458810109,696965
73314748,1470208237,657314
73514778,1474431587,637881
73925962,1483105763,632957
73929156,1483172611,621431
73954322,1483703489,665649
74032609,1485357883,603464
74123941,1487280191,619286
74405397,1493219383,595546
74768370,1500884023,666240
75037977,1506579241,662151
75260351,1511288081,635377
75382938,1513880827,738577
75493412,1516214053,692070
75580264,1518050671,715627
75849875,1523746561,665107
75916735,1525160213,626521
76019615,1527335827,626061
76182064,1530762137,698208
76221782,1531607923,682854
76402700,1535434903,632232
76519367,1537904747,654414
76840334,1544698541,633980
77085435,1549880627,632754
77683009,1562533429,646616
77738822,1563716573,695503
78159902,1572637379,663494
79234985,1595404007,725385
79251243,1595747327,737361
79265542,1596049919,701619
79553400,1602154843,720328
79770873,1606758523,676600
80128519,1614345763,601292
80133011,1614442097,643714
80273492,1617421231,686347
80277673,1617510007,674921
80390193,1619900549,624769
80544036,1623157999,700287
80604943,1624450297,662908
80728986,1627083049,646407
80811040,1628822389,669586
80880226,1630290397,654393
81198996,1637043491,616517
81351568,1640282263,629860
81546272,1644414833,647088
81605006,1645663997,698809
81895193,1651824991,686152
81991010,1653863803,688683
82211805,1658549749,733531
82228736,1658908861,645872
82575794,1666279427,608020
82624330,1667309297,669650
82625823,1667341601,650069
82767375,1670350193,664261
82779017,1670597297,667363
82833780,1671759307,637667
82839323,1671877651,644640
82992397,1675131347,677733
83194836,1679426729,589770
83199119,1679517251,612710
83549124,1686954583,647100
83660655,1689318803,638595
84139142,1699491929,647704
84167399,1700092943,666890
84448416,1706062493,662193
84632168,1709962229,740536
84672766,1710825167,695984
84685622,1711099751,722800
84689434,1711180153,723132
84727967,1711998451,643115
85157870,1721137169,656518
85223906,1722538877,732123
85281215,1723762507,677565
85292614,1724002669,635477
85304884,1724263841,675607
85377351,1725809627,704352
85410099,1726504523,671382
85509274,1728615841,651767
85573975,1729990177,687820
85703521,1732751549,685582
85728920,1733290697,707764
86206344,1743452441,704691
86316052,1745784143,638112
86578290,1751366069,709827
86604993,1751935909,672721
86668483,1753287241,560837
86683536,1753607087,683492
86714365,1754265031,732485
87139837,1763319139,627513
87232836,1765298597,631840
87244304,1765543729,670791
87262860,1765937137,681093
87277131,1766240753,661633
87655144,1774294213,639790
87883054,1779148849,639159
87901370,1779538039,649213
88105123,1783875619,635070
88459224,1791421739,671742
88531153,1792950449,694104
89201723,1807235387,698563
89588539,1815482239,703352
89854156,1821152503,666599
90048522,1825295977,697930
90053471,1825400777,709663
90223114,1829019893,638694
90288398,1830413063,654179
90347928,1831683793,669116
90496271,1834845127,683844
90697973,1839147857,726999
90876558,1842959311,720088
91214092,1850166403,636037
91309299,1852195937,636520
91853777,1863816421,684958
91887366,1864533499,679262
91962503,1866143287,701001
92678260,1881426667,637637
92797172,1883969753,636532
92878946,1885718309,680304
93076140,1889926013,725730
93681462,1902855641,694454
93719660,1903672711,716049
93822507,1905867647,743677
93908962,1907718859,703968
94086025,1911501113,676445
94623562,1923000691,678379
94649264,1923548681,648992
95110768,1933411631,698906
95587469,1943610737,691500
95822744,1948641041,683621
96026944,1953002431,704011
96125937,1955123461,634719
96370159,1960349647,706719
96513178,1963412131,658219
96634884,1966016753,702949
97058711,1975081351,683689
97152128,1977083071,754196
97316538,1980598211,663750
97531259,1985194769,668104
97701785,1988847209,716975
97792872,1990799039,722496
98393208,2003647949,762682
98468253,2005255691,670964
98504733,2006033977,696444
98589590,2007849551,718526
99002321,2016683407,637347
99761263,2032957799,691281
99960455,2037227399,735647
100008845,2038264597,742994
100104942,2040324589,709606
100190254,2042158207,744813
100356697,2045719217,707218
100377089,2046157913,705394
100422258,2047126687,664394
100566616,2050218011,676031
100882116,2056986157,720970
101360477,2067252337,724474
101438253,2068924189,690335
101802939,2076746783,676453
101873777,2078267333,773932
102187185,2084989591,679311
102322661,2087898601,733720
103114179,2104877161,730549
103126489,2105140771,733143
103521300,2113611187,791121
103665712,2116708739,698407
104056462,2125109003,695509
104201771,2128231459,713487
104250502,2129281171,675050
104323418,2130848149,673960
104847096,2142107683,732068
104888705,2143003327,769556
104893906,2143113743,730604
104940857,2144120581,725114
104957197,2144472053,724785
105229569,2150318539,634031
105282216,2151452021,662711
105340687,2152704937,689847
105342170,2152737179,624270
105372244,2153387063,633398
105516642,2156488129,649406
105896269,2164648349,672984
105972316,2166283237,707481
106026386,2167445927,667136
106177986,2170703419,661796
106198268,2171137061,676436
106236975,2171971393,736756
106487707,2177359721,719264
107041351,2189271289,693756
107103525,2190610693,589870
107750045,2204525243,699262
107796979,2205534811,711882
108069837,2211404401,729866
108121969,2212525207,681238
108197303,2214145949,748790
108252652,2215341449,660548
108281543,2215965391,678103
108414810,2218830151,630638
108475929,2220140281,677011
108793263,2226973247,709793
108858093,2228369873,696257
108909753,2229478099,673710
108920090,2229700379,709474
108939820,2230125509,673065
108963196,2230630271,749484
109361814,2239211869,735075
