term,AC3Solver_binary_FE0,AC3Solver_binary_FE1,AC3Solver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE1,AC3Solver_dir_info_FE0,AC3Solver_dir_info_FE1,AC3Solver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE1,AC3Solver_inv_overlap_FE0,AC3Solver_inv_overlap_FE1,AC3Solver_overlap_FE0,AC3Solver_overlap_FE1,BacktrackingSolver_binary_FE0,BacktrackingSolver_binary_FE1,BacktrackingSolver_dir_expected_frac_FE0,BacktrackingSolver_dir_expected_frac_FE1,BacktrackingSolver_dir_info_FE0,BacktrackingSolver_dir_info_FE1,BacktrackingSolver_dir_target_frac_FE0,BacktrackingSolver_dir_target_frac_FE1,BacktrackingSolver_inv_overlap_FE0,BacktrackingSolver_inv_overlap_FE1,BacktrackingSolver_overlap_FE0,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_binary_FE0,ForwardCheckingSolver_binary_FE1,ForwardCheckingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE1,ForwardCheckingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE1,ForwardCheckingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE1,ForwardCheckingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE1
I(1/(trace_laplacian + 0.001)),9427367.41278085,NA,-5908725.181964384,-8684588.625284294,-788883.5551845216,-651389.8613149378,-6535076.400281178,-7160653.105088086,-2093682.2197803063,1487483912989840.2,-225181.05111556366,-340965.9726810083,4296874.955000968,NA,7317125.638085413,1942081.2205895674,-4514867.186445745,-4955071.875468919,5582078.766491614,3234557.9909713105,1862749.0909290914,-6017648347287312,-413831.69530458795,-99.26290247094482,10886033.293727327,NA,-1444646.113042483,-5282270.215699275,-2851525.6545942198,-1910288.5075037207,-3527373.499893388,705108.3093167143,-1305952.8890650163,948695215880070.25,-302171.8095131858,-306236.21635927394
log(log(fiedler_value + 1) + 1):log(fiedler_value + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,105354.86495472884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581542.4437625932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148852.42715349694,NA,NA
log(log(fiedler_value + 1) + 1):log(log(trace_laplacian + 1) + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,-1209288003.548614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4557313164.909588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-624231082.699849,NA,NA
log(log(fiedler_value + 1) + 1):log(trace_laplacian + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,58764922.31706111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-223159933.81917593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29656117.16069919,NA,NA
log(log(fiedler_value + 1) + 1):fiedler_value,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09395841037322035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3960519764983331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13410273233240652,NA,NA
log(log(fiedler_value + 1) + 1):trace_laplacian,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004917093938374157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027347646145213025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.913156436929613e-4,NA,NA
log(log(fiedler_value + 1) + 1):I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3959394576005585e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3573672652437677e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.909039326307626e-9,NA,NA
log(log(fiedler_value + 1) + 1):I(trace_laplacian^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,6.589878794052637e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.656112115466066e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1777279997394643e-13,NA,NA
log(log(fiedler_value + 1) + 1):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,369665.28479187563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928553.9323866642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571341.3751005272,NA,NA
log(log(fiedler_value + 1) + 1):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-423433156486571.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988959983609118.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-301994140921529.94,NA,NA
